case_id,age_group,scam_type,contact_method,source_platform,requires_user_action,payment_method,urgency_level,loss_bucket,transaction_amount,is_scam
6028,30-49,Government Impersonation,Messaging,WhatsApp,0,Bank Transfer,High,100k+,161717.02,1
6029,50-64,Others,Messaging,Telegram,0,Bank Transfer,High,<2k,710.17,1
6030,50-64,Insurance Services,Social Media,Instagram,1,Bank Transfer,High,10k-50k,15296.9,1
6031,50-64,Internet Love,Online Shopping Platform,Carousell,1,Bank Transfer,Medium,5k-10k,6901.55,1
6032,20-29,Internet Love,Phone Call,Phone,1,Bank Transfer,High,<2k,394.05,1
6033,30-49,Government Impersonation,Messaging,Other Messaging,1,Bank Transfer,High,100k+,136548.21,1
6034,30-49,Others,Social Media,Other Social,0,Card,Medium,2k-5k,4476.86,1
6035,50-64,Job,Social Media,Instagram,1,Card,High,<2k,854.42,1
6036,30-49,Phishing,Messaging,WhatsApp,0,E-wallet,Medium,10k-50k,13411.81,1
6037,30-49,Investment,Messaging,WhatsApp,1,Card,High,<2k,666.99,1
6038,20-29,Investment,Phone Call,Phone,1,Crypto,High,10k-50k,19478.05,1
6039,50-64,Others,SMS,SMS,1,Card,High,<2k,1378.41,1
6040,30-49,E-commerce,Social Media,Facebook,1,Card,Low,<2k,692.11,1
6041,30-49,E-commerce,Phone Call,Phone,0,E-wallet,Medium,<2k,414.33,1
6042,50-64,Phishing,Social Media,Facebook,0,Card,Medium,50k-100k,54387.78,1
6043,30-49,Insurance Services,Phone Call,Phone,1,Bank Transfer,Low,<2k,941.32,1
6044,50-64,Job,Messaging,Telegram,1,Bank Transfer,Medium,50k-100k,54144.92,1
6045,30-49,Phishing,Social Media,Facebook,1,Bank Transfer,High,<2k,373.09,1
6046,50-64,Phishing,Social Media,Facebook,1,Bank Transfer,High,50k-100k,94716.74,1
6047,30-49,Investment,Messaging,Telegram,1,Card,Medium,50k-100k,75497.62,1
6048,65+,Job,Messaging,WhatsApp,1,Card,Medium,100k+,199539.46,1
6049,65+,Internet Love,Messaging,WhatsApp,0,Bank Transfer,Medium,50k-100k,84469.27,1
6050,<20,Phishing,Social Media,Other Social,0,Bank Transfer,High,<2k,498.97,1
6051,20-29,Others,Social Media,TikTok,1,Bank Transfer,Medium,2k-5k,2025.8,1
6052,<20,E-commerce,Social Media,Facebook,1,Bank Transfer,Medium,2k-5k,3127.43,1
6053,<20,Investment,Social Media,Facebook,1,Crypto,Low,<2k,716.47,1
6054,50-64,Phishing,Online Shopping Platform,Facebook Marketplace,0,Card,Medium,<2k,1689.97,1
6055,50-64,E-commerce,Other Website,Website,1,Card,Medium,<2k,61.9,1
6056,50-64,Phishing,Phone Call,Phone,0,Card,Medium,100k+,138331.63,1
6057,30-49,Government Impersonation,Messaging,WhatsApp,1,Bank Transfer,High,<2k,1731.71,1
6058,50-64,Phishing,Social Media,Other Social,1,Card,Low,10k-50k,11975.54,1
6059,20-29,Phishing,Social Media,Facebook,0,Card,Medium,2k-5k,2191.91,1
6060,30-49,Investment,Messaging,Telegram,1,Bank Transfer,High,100k+,209501.68,1
6061,65+,Phishing,Classified Ads,Classifieds,1,Card,Medium,<2k,443.27,1
6062,30-49,Phishing,Classified Ads,Classifieds,1,Card,High,2k-5k,4466.48,1
6063,65+,Investment,Messaging,Telegram,1,Bank Transfer,Medium,100k+,179543.42,1
6064,30-49,Phishing,Social Media,Facebook,0,Card,Low,2k-5k,2944.86,1
6065,50-64,Others,Online Shopping Platform,Other Shopping,0,Bank Transfer,Low,2k-5k,2317.78,1
6066,30-49,Phishing,Messaging,WhatsApp,1,Card,Medium,2k-5k,4337.13,1
6067,30-49,Investment,Messaging,Telegram,1,Crypto,High,<2k,902.71,1
6068,65+,Phishing,Social Media,Facebook,0,Card,Medium,10k-50k,31160.26,1
6069,30-49,E-commerce,Messaging,Other Messaging,1,Card,Medium,<2k,444.69,1
6070,20-29,Insurance Services,Messaging,Telegram,1,Bank Transfer,Medium,10k-50k,14678.96,1
6071,30-49,Investment,Social Media,Instagram,1,Bank Transfer,Medium,50k-100k,97207.17,1
6072,20-29,Phishing,Other Website,Website,1,Card,Medium,5k-10k,5294.77,1
6073,30-49,E-commerce,Messaging,WhatsApp,1,Bank Transfer,Low,<2k,376.14,1
6074,65+,Job,Other Website,Website,1,Bank Transfer,Low,<2k,306.8,1
6075,30-49,Job,Other Website,Website,1,Bank Transfer,Medium,<2k,640.59,1
6076,65+,Insurance Services,Messaging,WhatsApp,1,Bank Transfer,High,100k+,102398.09,1
6077,65+,Government Impersonation,Messaging,WhatsApp,1,Card,High,50k-100k,64220.55,1
6078,50-64,Job,Messaging,Telegram,0,E-wallet,High,50k-100k,67500.57,1
6079,20-29,E-commerce,Social Media,Facebook,0,Bank Transfer,Medium,<2k,219.0,1
6080,50-64,E-commerce,Online Shopping Platform,Carousell,1,Card,Low,<2k,271.09,1
6081,50-64,Phishing,Messaging,WhatsApp,0,Card,Low,10k-50k,17376.66,1
6082,50-64,Phishing,Other Website,Website,0,Card,Medium,<2k,238.18,1
6083,20-29,E-commerce,Classified Ads,Classifieds,1,Bank Transfer,Low,<2k,723.01,1
6084,30-49,E-commerce,Social Media,TikTok,1,Bank Transfer,Medium,<2k,88.57,1
6085,20-29,E-commerce,Social Media,Facebook,1,Bank Transfer,Medium,2k-5k,3674.65,1
6086,30-49,Phishing,Dating App/Website,Dating Platform,0,Card,Medium,2k-5k,2379.4,1
6087,20-29,E-commerce,Social Media,Facebook,1,Card,Low,2k-5k,2006.16,1
6088,20-29,Job,Social Media,Facebook,1,Bank Transfer,Medium,<2k,578.89,1
6089,<20,Investment,Online Shopping Platform,Carousell,1,Bank Transfer,High,100k+,108904.31,1
6090,30-49,Job,Social Media,Facebook,1,Bank Transfer,Medium,<2k,849.35,1
6091,65+,Investment,Messaging,WhatsApp,1,Card,Medium,50k-100k,81606.72,1
6092,30-49,Job,Phone Call,Phone,1,E-wallet,Low,10k-50k,38589.42,1
6093,50-64,E-commerce,Online Shopping Platform,Carousell,1,E-wallet,Medium,<2k,1630.35,1
6094,65+,Investment,Social Media,Facebook,1,Bank Transfer,High,100k+,173738.59,1
6095,50-64,E-commerce,Other Website,Website,1,Bank Transfer,Medium,<2k,1729.92,1
6096,50-64,Phishing,Phone Call,Phone,0,Card,High,2k-5k,3930.67,1
6097,50-64,E-commerce,Online Shopping Platform,Carousell,1,Card,Low,<2k,556.93,1
6098,30-49,Phishing,Social Media,Other Social,0,Card,Medium,<2k,155.24,1
6099,30-49,Phishing,Social Media,Facebook,1,Card,Low,10k-50k,24777.23,1
6100,50-64,Phishing,Social Media,Facebook,1,Card,High,<2k,125.62,1
6101,30-49,Phishing,Social Media,Facebook,0,E-wallet,Medium,2k-5k,3455.43,1
6102,65+,Insurance Services,Phone Call,Phone,1,Card,High,2k-5k,3793.39,1
6103,30-49,Job,Social Media,Instagram,1,Bank Transfer,Low,2k-5k,3196.36,1
6104,50-64,Job,Messaging,Telegram,1,Card,High,10k-50k,22066.06,1
6105,20-29,Job,Messaging,WhatsApp,0,E-wallet,Medium,10k-50k,21666.53,1
6106,65+,Phishing,Social Media,Facebook,0,Card,Medium,<2k,450.75,1
6107,20-29,Job,Messaging,WhatsApp,0,Card,High,10k-50k,23577.29,1
6108,30-49,Phishing,Social Media,Facebook,0,Card,Medium,<2k,1694.34,1
6109,30-49,Phishing,Social Media,TikTok,1,Card,Medium,<2k,1113.3,1
6110,20-29,E-commerce,Online Shopping Platform,Carousell,0,Bank Transfer,High,100k+,221323.79,1
6111,65+,Sexual Services,Phone Call,Phone,1,Bank Transfer,Low,<2k,283.71,1
6112,65+,E-commerce,Social Media,TikTok,1,Bank Transfer,Low,<2k,751.36,1
6113,30-49,E-commerce,Social Media,Other Social,1,Card,Low,<2k,662.19,1
6114,30-49,Investment,Social Media,Facebook,1,Bank Transfer,High,10k-50k,43962.55,1
6115,20-29,Job,Messaging,WhatsApp,1,Bank Transfer,High,<2k,254.21,1
6116,65+,Phishing,Messaging,WhatsApp,0,Bank Transfer,High,<2k,117.01,1
6117,30-49,Phishing,Other Website,Website,0,Card,Medium,10k-50k,24717.62,1
6118,65+,Investment,Messaging,Telegram,1,Crypto,Medium,100k+,162765.76,1
6119,65+,Phishing,Social Media,Other Social,0,Card,Low,<2k,1992.53,1
6120,50-64,E-commerce,Phone Call,Phone,1,E-wallet,Low,<2k,511.96,1
6121,20-29,Phishing,Social Media,Facebook,1,Card,Medium,<2k,109.08,1
6122,30-49,E-commerce,Phone Call,Phone,1,E-wallet,Low,2k-5k,4124.24,1
6123,30-49,Phishing,Messaging,WhatsApp,1,Bank Transfer,High,10k-50k,23310.76,1
6124,20-29,E-commerce,Online Shopping Platform,Carousell,1,Bank Transfer,High,<2k,311.96,1
6125,50-64,Phishing,Phone Call,Phone,0,E-wallet,Low,10k-50k,14129.77,1
6126,20-29,E-commerce,Online Shopping Platform,Facebook Marketplace,1,Card,Medium,<2k,399.61,1
6127,20-29,Investment,Social Media,Other Social,0,Crypto,Low,10k-50k,18687.06,1
6128,30-49,Government Impersonation,Online Shopping Platform,Facebook Marketplace,1,Bank Transfer,Medium,100k+,100980.7,1
6129,50-64,Job,SMS,SMS,1,Bank Transfer,Medium,<2k,997.49,1
6130,30-49,Investment,Messaging,Telegram,1,Bank Transfer,Medium,2k-5k,3482.32,1
6131,30-49,Investment,Social Media,Facebook,1,Crypto,High,100k+,138648.76,1
6132,30-49,Others,Phone Call,Phone,0,Bank Transfer,Medium,<2k,135.83,1
6133,30-49,Job,Email,Email,1,Bank Transfer,Medium,50k-100k,61183.03,1
6134,20-29,E-commerce,Messaging,WhatsApp,0,Bank Transfer,Low,<2k,799.41,1
6135,30-49,Job,Online Shopping Platform,Carousell,1,E-wallet,High,50k-100k,67586.81,1
6136,50-64,Job,Social Media,TikTok,1,Bank Transfer,Medium,50k-100k,72762.72,1
6137,65+,Government Impersonation,Phone Call,Phone,1,Bank Transfer,High,100k+,234961.54,1
6138,65+,Government Impersonation,Messaging,Telegram,1,Bank Transfer,High,5k-10k,6095.44,1
6139,50-64,Others,Messaging,Telegram,0,E-wallet,Low,<2k,285.79,1
6140,<20,E-commerce,Messaging,Facebook Messenger,0,Bank Transfer,Low,<2k,557.61,1
6141,50-64,Job,Social Media,Facebook,1,Bank Transfer,Medium,5k-10k,6045.15,1
6142,30-49,Phishing,Social Media,Facebook,0,Card,High,5k-10k,9742.11,1
6143,50-64,Investment,Online Shopping Platform,Carousell,1,Bank Transfer,High,100k+,120633.3,1
6144,50-64,E-commerce,Messaging,Telegram,0,Bank Transfer,Low,50k-100k,85533.66,1
6145,30-49,E-commerce,Phone Call,Phone,0,Bank Transfer,Medium,<2k,170.27,1
6146,50-64,Investment,SMS,SMS,1,Crypto,High,50k-100k,98726.95,1
6147,30-49,Others,Messaging,Telegram,1,Card,Medium,<2k,501.67,1
6148,65+,Investment,Messaging,Telegram,1,Card,Medium,10k-50k,30314.44,1
6149,30-49,Job,Online Shopping Platform,Facebook Marketplace,0,Card,Low,5k-10k,6320.75,1
6150,20-29,E-commerce,Online Shopping Platform,Carousell,0,E-wallet,High,<2k,197.86,1
6151,30-49,Investment,Messaging,WhatsApp,1,Bank Transfer,High,100k+,180277.15,1
6152,20-29,E-commerce,Other Website,Website,0,E-wallet,Low,<2k,1674.25,1
6153,20-29,E-commerce,Online Shopping Platform,Facebook Marketplace,1,Card,Medium,<2k,960.49,1
6154,<20,Internet Love,Phone Call,Phone,1,Bank Transfer,High,10k-50k,22798.32,1
6155,50-64,Others,Social Media,Instagram,1,Bank Transfer,Low,<2k,926.25,1
6156,50-64,Job,Online Shopping Platform,Carousell,1,Bank Transfer,Medium,100k+,129022.07,1
6157,30-49,Phishing,Social Media,Facebook,0,Card,Low,<2k,299.76,1
6158,65+,Investment,Social Media,TikTok,1,Crypto,High,10k-50k,22457.99,1
6159,30-49,Others,Messaging,Telegram,1,E-wallet,Medium,10k-50k,36002.45,1
6160,20-29,Fake Friend Call,Online Shopping Platform,Carousell,1,Bank Transfer,Low,<2k,818.32,1
6161,50-64,Government Impersonation,Social Media,Other Social,1,Bank Transfer,High,10k-50k,10874.73,1
6162,30-49,Insurance Services,Phone Call,Phone,1,Card,Medium,2k-5k,3787.87,1
6163,50-64,Phishing,Phone Call,Phone,1,Bank Transfer,Low,5k-10k,6369.67,1
6164,50-64,Insurance Services,Phone Call,Phone,1,Card,High,100k+,113989.7,1
6165,30-49,Fake Friend Call,Messaging,Facebook Messenger,0,Bank Transfer,Medium,<2k,258.32,1
6166,50-64,Investment,Messaging,WhatsApp,1,Bank Transfer,Medium,10k-50k,39489.07,1
6167,50-64,Job,Messaging,WhatsApp,0,Card,High,10k-50k,26986.14,1
6168,30-49,Government Impersonation,Social Media,Facebook,1,Bank Transfer,High,<2k,1124.06,1
6169,50-64,Investment,Phone Call,Phone,1,Crypto,Medium,<2k,492.44,1
6170,30-49,Investment,Messaging,Telegram,1,Bank Transfer,High,100k+,199454.21,1
6171,30-49,Insurance Services,Phone Call,Phone,0,Bank Transfer,Medium,10k-50k,20571.35,1
6172,20-29,Loan,Social Media,Facebook,1,Bank Transfer,High,<2k,50.0,1
6173,50-64,Phishing,Social Media,Instagram,0,Card,Low,10k-50k,21084.4,1
6174,20-29,Phishing,Social Media,TikTok,0,Bank Transfer,High,<2k,718.21,1
6175,20-29,Insurance Services,Social Media,Facebook,1,Bank Transfer,High,<2k,440.78,1
6176,30-49,Government Impersonation,Social Media,Facebook,1,Bank Transfer,High,10k-50k,36653.5,1
6177,50-64,Job,Phone Call,Phone,1,E-wallet,Medium,<2k,1183.26,1
6178,20-29,E-commerce,Messaging,Telegram,1,Card,Medium,<2k,153.77,1
6179,50-64,Others,Dating App/Website,Dating Platform,1,Bank Transfer,High,<2k,761.42,1
6180,20-29,E-commerce,Online Shopping Platform,Carousell,0,Bank Transfer,Medium,2k-5k,3574.1,1
6181,30-49,Others,Social Media,Facebook,1,E-wallet,Low,<2k,417.86,1
6182,50-64,Phishing,Phone Call,Phone,0,Card,Medium,<2k,363.17,1
6183,65+,Phishing,Social Media,Facebook,1,Card,Medium,10k-50k,18235.21,1
6184,65+,Phishing,Social Media,Facebook,0,Bank Transfer,High,10k-50k,22580.49,1
6185,50-64,Loan,Social Media,Facebook,1,Bank Transfer,Low,<2k,156.73,1
6186,50-64,Investment,Messaging,Telegram,1,Bank Transfer,High,10k-50k,15324.17,1
6187,20-29,Others,Messaging,WhatsApp,0,E-wallet,Low,2k-5k,2220.36,1
6188,50-64,E-commerce,Social Media,TikTok,1,Bank Transfer,Medium,<2k,714.48,1
6189,50-64,Internet Love,Social Media,Facebook,1,Crypto,Low,<2k,194.87,1
6190,20-29,Job,Social Media,Facebook,1,E-wallet,High,10k-50k,12256.23,1
6191,65+,Investment,Phone Call,Phone,1,Bank Transfer,High,5k-10k,7299.58,1
6192,30-49,Job,Phone Call,Phone,1,E-wallet,Medium,<2k,1536.7,1
6193,20-29,E-commerce,Online Shopping Platform,Carousell,0,Card,Low,<2k,1354.61,1
6194,30-49,Job,Messaging,Telegram,1,Bank Transfer,Low,2k-5k,2629.79,1
6195,20-29,E-commerce,Social Media,Facebook,0,Card,Low,<2k,335.81,1
6196,30-49,Phishing,Social Media,Facebook,1,Card,Medium,50k-100k,70856.56,1
6197,30-49,Job,Messaging,Telegram,1,Bank Transfer,Medium,5k-10k,5593.22,1
6198,20-29,Phishing,Social Media,TikTok,0,Card,Medium,<2k,50.0,1
6199,50-64,Phishing,SMS,SMS,0,Bank Transfer,High,10k-50k,11708.13,1
6200,30-49,Phishing,Social Media,Facebook,0,Card,High,10k-50k,16930.82,1
6201,50-64,Phishing,Messaging,Telegram,0,Bank Transfer,Medium,<2k,175.67,1
6202,50-64,Investment,Messaging,WhatsApp,1,Crypto,High,100k+,225276.07,1
6203,50-64,Phishing,Phone Call,Phone,1,Bank Transfer,Medium,2k-5k,2369.83,1
6204,30-49,Phishing,Social Media,Facebook,0,Card,Medium,2k-5k,2340.94,1
6205,50-64,Investment,Social Media,Other Social,1,Crypto,Medium,10k-50k,23374.95,1
6206,30-49,Phishing,Social Media,Facebook,0,Card,High,2k-5k,2787.68,1
6207,20-29,Job,Messaging,Telegram,1,Bank Transfer,Medium,2k-5k,2523.64,1
6208,20-29,Phishing,Social Media,Facebook,0,Card,Low,<2k,248.3,1
6209,30-49,Phishing,Messaging,Telegram,0,Card,Medium,<2k,480.17,1
6210,50-64,Others,Phone Call,Phone,0,Bank Transfer,Medium,<2k,820.07,1
6211,50-64,Government Impersonation,Messaging,WhatsApp,1,Bank Transfer,High,10k-50k,13925.9,1
6212,<20,E-commerce,Social Media,Facebook,1,E-wallet,Low,<2k,518.44,1
6213,20-29,Phishing,Social Media,TikTok,1,Card,Low,<2k,548.69,1
6214,50-64,E-commerce,Online Shopping Platform,Carousell,1,Bank Transfer,Low,<2k,298.14,1
6215,20-29,E-commerce,Messaging,WhatsApp,0,Card,Low,<2k,1268.53,1
6216,30-49,Government Impersonation,Streaming Service,Streaming Platform,1,Cash/Valuables,High,50k-100k,77342.96,1
6217,30-49,E-commerce,Online Shopping Platform,Carousell,1,E-wallet,Low,5k-10k,5414.12,1
6218,50-64,Government Impersonation,Phone Call,Phone,1,Cash/Valuables,Medium,<2k,822.54,1
6219,50-64,E-commerce,Social Media,Facebook,1,Bank Transfer,Medium,<2k,1293.23,1
6220,65+,Fake Friend Call,Other Website,Website,1,PayNow/Transfer,Medium,<2k,184.31,1
6221,50-64,Others,Phone Call,Phone,1,Crypto,Medium,<2k,391.52,1
6222,30-49,E-commerce,Messaging,WhatsApp,0,Bank Transfer,Medium,<2k,139.24,1
6223,30-49,Phishing,Social Media,Facebook,0,Card,High,10k-50k,17724.48,1
6224,30-49,Others,Social Media,Instagram,1,Bank Transfer,Low,5k-10k,6465.77,1
6225,30-49,Others,Messaging,WhatsApp,1,Card,Medium,<2k,1041.0,1
6226,65+,Investment,Phone Call,Phone,1,Bank Transfer,High,2k-5k,2277.16,1
6227,<20,Others,Social Media,Facebook,1,E-wallet,Low,<2k,511.78,1
6228,<20,Phishing,Social Media,Facebook,0,Card,Medium,<2k,616.49,1
6229,30-49,Investment,Email,Email,1,Crypto,Medium,100k+,183861.55,1
6230,20-29,Government Impersonation,Phone Call,Phone,1,Cash/Valuables,Medium,50k-100k,77257.06,1
6231,30-49,Phishing,Social Media,TikTok,0,Card,High,<2k,133.9,1
6232,30-49,Government Impersonation,Phone Call,Phone,1,Bank Transfer,High,100k+,182109.88,1
6233,50-64,Insurance Services,Messaging,Telegram,1,Card,Medium,10k-50k,18944.16,1
6234,65+,Others,Social Media,Facebook,1,Bank Transfer,Medium,2k-5k,3933.64,1
6235,30-49,Job,Social Media,Other Social,1,Bank Transfer,Medium,100k+,205494.74,1
6236,30-49,Phishing,Social Media,Facebook,1,Bank Transfer,Medium,<2k,149.13,1
6237,<20,E-commerce,Social Media,Facebook,0,Card,Medium,<2k,370.8,1
6238,50-64,Phishing,Social Media,Facebook,0,Card,Low,5k-10k,5989.73,1
6239,30-49,E-commerce,Online Shopping Platform,Carousell,1,Card,Low,<2k,449.55,1
6240,65+,Investment,Messaging,Other Messaging,1,Crypto,Medium,<2k,518.04,1
6241,65+,Government Impersonation,Messaging,WhatsApp,1,Cash/Valuables,Medium,100k+,122828.54,1
6242,50-64,Phishing,Social Media,Facebook,0,Card,Medium,<2k,1203.36,1
6243,65+,Investment,Social Media,Facebook,1,Bank Transfer,Low,<2k,970.85,1
6244,30-49,Investment,Other Website,Website,1,Bank Transfer,Low,10k-50k,36929.34,1
6245,20-29,E-commerce,Online Shopping Platform,Carousell,1,Card,High,<2k,139.29,1
6246,50-64,E-commerce,Social Media,Other Social,1,Bank Transfer,Low,<2k,725.96,1
6247,50-64,Others,Online Shopping Platform,Facebook Marketplace,1,Bank Transfer,Medium,<2k,188.15,1
6248,30-49,E-commerce,Messaging,Telegram,1,Card,Medium,<2k,889.5,1
6249,50-64,Investment,Phone Call,Phone,1,Bank Transfer,Medium,100k+,173230.51,1
6250,50-64,Phishing,Social Media,TikTok,1,Card,Medium,<2k,125.5,1
6251,65+,Phishing,Social Media,Facebook,1,Card,Medium,10k-50k,16186.31,1
6252,30-49,Government Impersonation,Phone Call,Phone,1,Bank Transfer,High,100k+,475981.91,1
6253,65+,Phishing,Messaging,WhatsApp,1,Card,Medium,<2k,716.75,1
6254,30-49,Job,Social Media,Facebook,1,Bank Transfer,Medium,<2k,163.55,1
6255,50-64,Investment,Messaging,Telegram,1,Card,High,10k-50k,44959.31,1
6256,<20,E-commerce,Online Shopping Platform,Carousell,1,Bank Transfer,Low,<2k,1278.75,1
6257,30-49,Phishing,Online Shopping Platform,Carousell,0,Card,High,<2k,602.2,1
6258,20-29,E-commerce,Online Shopping Platform,Facebook Marketplace,0,Bank Transfer,Low,<2k,718.92,1
6259,30-49,E-commerce,Social Media,Facebook,1,Bank Transfer,Low,<2k,223.38,1
6260,50-64,Phishing,Phone Call,Phone,0,Card,High,2k-5k,4561.12,1
6261,<20,Phishing,Online Shopping Platform,Carousell,1,Card,Medium,2k-5k,2207.6,1
6262,65+,Insurance Services,Messaging,WhatsApp,0,Bank Transfer,High,<2k,297.29,1
6263,50-64,Government Impersonation,Phone Call,Phone,1,Card,High,10k-50k,27488.3,1
6264,20-29,E-commerce,Social Media,TikTok,0,Card,Low,<2k,361.17,1
6265,30-49,Investment,Social Media,Facebook,1,Crypto,High,10k-50k,38807.66,1
6266,50-64,Job,Phone Call,Phone,1,Bank Transfer,Medium,100k+,128090.25,1
6267,30-49,Phishing,Social Media,Facebook,0,Bank Transfer,Medium,<2k,367.56,1
6268,50-64,Phishing,Social Media,Facebook,0,Card,High,2k-5k,2789.15,1
6269,50-64,Phishing,Messaging,Telegram,0,Bank Transfer,Low,2k-5k,2229.12,1
6270,65+,Others,Email,Email,1,E-wallet,Low,<2k,206.82,1
6271,65+,Investment,Social Media,Facebook,1,Crypto,Low,100k+,173341.11,1
6272,50-64,Investment,Social Media,Facebook,1,Bank Transfer,Medium,<2k,622.71,1
6273,20-29,Job,Social Media,Facebook,1,Bank Transfer,Medium,<2k,1075.11,1
6274,50-64,Phishing,Messaging,WhatsApp,0,Card,High,<2k,473.85,1
6275,65+,E-commerce,Social Media,Facebook,0,Bank Transfer,Low,<2k,357.1,1
6276,65+,Phishing,Online Shopping Platform,Carousell,1,Card,High,5k-10k,8606.12,1
6277,20-29,E-commerce,Messaging,WhatsApp,1,Bank Transfer,High,<2k,317.76,1
6278,20-29,Others,Social Media,TikTok,1,Bank Transfer,Medium,<2k,309.17,1
6279,50-64,Job,Social Media,Facebook,1,Bank Transfer,High,<2k,225.3,1
6280,50-64,Job,Messaging,Telegram,1,Bank Transfer,Medium,10k-50k,25355.71,1
6281,50-64,Job,Messaging,WhatsApp,1,Bank Transfer,Medium,50k-100k,67372.13,1
6282,<20,Fake Friend Call,Online Shopping Platform,Other Shopping,1,PayNow/Transfer,Medium,<2k,121.32,1
6283,20-29,E-commerce,Messaging,WhatsApp,1,Card,Low,10k-50k,15459.86,1
6284,20-29,Investment,Social Media,Facebook,1,Crypto,Medium,100k+,147715.78,1
6285,30-49,Job,Messaging,Telegram,1,E-wallet,Medium,<2k,290.11,1
6286,30-49,Others,Phone Call,Phone,1,E-wallet,High,<2k,506.2,1
6287,50-64,Internet Love,Phone Call,Phone,1,Bank Transfer,Medium,<2k,849.53,1
6288,50-64,Others,Phone Call,Phone,1,Bank Transfer,Low,2k-5k,2834.44,1
6289,30-49,Government Impersonation,Messaging,WhatsApp,1,Cash/Valuables,Medium,5k-10k,5474.43,1
6290,65+,E-commerce,Social Media,TikTok,1,Bank Transfer,High,<2k,519.82,1
6291,20-29,E-commerce,Social Media,Instagram,1,Bank Transfer,Medium,<2k,237.07,1
6292,20-29,Phishing,Social Media,TikTok,0,Card,Medium,<2k,141.57,1
6293,30-49,Government Impersonation,Online Shopping Platform,Facebook Marketplace,1,Bank Transfer,High,2k-5k,3531.91,1
6294,65+,Phishing,Messaging,Telegram,0,Bank Transfer,Low,<2k,1433.32,1
6295,30-49,Phishing,Social Media,Facebook,1,Bank Transfer,Low,2k-5k,4695.5,1
6296,30-49,Phishing,Social Media,Facebook,1,Card,High,<2k,1111.38,1
6297,20-29,E-commerce,Social Media,Facebook,1,Bank Transfer,Low,<2k,486.56,1
6298,30-49,E-commerce,Phone Call,Phone,1,E-wallet,Low,<2k,203.78,1
6299,30-49,E-commerce,Messaging,WhatsApp,1,E-wallet,Low,<2k,479.43,1
6300,30-49,E-commerce,Social Media,Facebook,1,Bank Transfer,Low,<2k,444.51,1
6301,30-49,Investment,Social Media,Facebook,1,Bank Transfer,High,5k-10k,7150.75,1
6302,30-49,Investment,Social Media,Facebook,1,Crypto,High,5k-10k,6730.51,1
6303,50-64,Phishing,Phone Call,Phone,0,Card,Medium,<2k,206.86,1
6304,20-29,Job,Messaging,Telegram,1,E-wallet,Medium,5k-10k,5231.59,1
6305,<20,Investment,Dating App/Website,Dating Platform,1,Bank Transfer,Medium,<2k,1156.45,1
6306,50-64,E-commerce,Online Shopping Platform,Carousell,0,Bank Transfer,Low,2k-5k,4152.29,1
6307,30-49,Phishing,Social Media,TikTok,0,Card,Low,<2k,495.59,1
6308,65+,Others,Other Website,Website,0,Bank Transfer,High,100k+,254293.47,1
6309,65+,E-commerce,Social Media,Facebook,0,E-wallet,Low,<2k,717.94,1
6310,30-49,E-commerce,Social Media,Facebook,0,Bank Transfer,Low,<2k,344.46,1
6311,50-64,Phishing,Social Media,TikTok,0,Card,Medium,2k-5k,2519.48,1
6312,20-29,E-commerce,Online Shopping Platform,Carousell,1,Bank Transfer,Medium,2k-5k,4005.58,1
6313,<20,Others,Social Media,Facebook,1,Bank Transfer,Low,10k-50k,12641.88,1
6314,30-49,Insurance Services,Phone Call,Phone,1,Bank Transfer,High,5k-10k,8650.57,1
6315,50-64,E-commerce,Phone Call,Phone,0,Bank Transfer,High,<2k,134.27,1
6316,65+,Others,Phone Call,Phone,1,Bank Transfer,Medium,5k-10k,7544.04,1
6317,30-49,Investment,Social Media,Facebook,1,Bank Transfer,Medium,<2k,1727.43,1
6318,50-64,Job,Phone Call,Phone,1,Crypto,Medium,50k-100k,78602.73,1
6319,30-49,Others,Other Website,Website,1,Bank Transfer,Medium,100k+,117286.42,1
6320,50-64,Investment,Messaging,WhatsApp,1,Crypto,Medium,<2k,1529.96,1
6321,50-64,Investment,Online Shopping Platform,Facebook Marketplace,1,Bank Transfer,High,10k-50k,24279.29,1
6322,65+,Government Impersonation,Messaging,WhatsApp,1,Bank Transfer,High,10k-50k,17024.84,1
6323,50-64,Phishing,Social Media,Facebook,0,Card,Medium,10k-50k,25203.75,1
6324,30-49,Others,Social Media,TikTok,1,Bank Transfer,Medium,<2k,236.35,1
6325,50-64,Job,Messaging,Telegram,1,Bank Transfer,Medium,50k-100k,82666.18,1
6326,30-49,Phishing,Social Media,TikTok,1,Card,Medium,<2k,179.94,1
6327,50-64,Fake Friend Call,Phone Call,Phone,0,PayNow/Transfer,Low,<2k,976.27,1
6328,30-49,Phishing,Online Shopping Platform,Carousell,1,Card,Medium,<2k,545.59,1
6329,30-49,Phishing,Social Media,TikTok,0,Card,Medium,<2k,113.48,1
6330,50-64,Insurance Services,Messaging,WhatsApp,1,Cash/Valuables,High,<2k,704.57,1
6331,30-49,Phishing,Social Media,Facebook,1,Card,Medium,2k-5k,2147.79,1
6332,65+,Phishing,Messaging,WhatsApp,0,E-wallet,High,<2k,1885.11,1
6333,20-29,E-commerce,Online Shopping Platform,Carousell,1,Bank Transfer,Low,<2k,131.58,1
6334,30-49,Phishing,Messaging,WhatsApp,1,Card,High,<2k,196.07,1
